le spectacle,show
le spectacle de variétés,variety show
le cinéma,movie theater
l'opéra (m.),opera
le théâtre,theater
les activités (f.) de plein air,outdoor activities
le pique-nique,picnic
la pétanque,pétanque; bowling-like sport
la pêche,fishing
la marche,walking
le ski,skiing
les sports (m.),sports
le football,football
le cyclisme,cycling
les matchs (m.),matches (of a game)
les jeux (m.),games
les jeux de hasard,games of chance
les jeux de société,board games
le bricolage,DIY art
le jardinage,gardening
les passe-temps (m.),hobbies
la lecture,reading
les collections (f.),collections
la peinture,painting
bricoler,to putter around; do odd jobs
une chanson,song
une équipe,team
une blague,joke
jeux des mots,puns
sur l'herbe,on the grass
