le changement climatique,climate change
consommer,to consume
le covoiturage,carpooling
épuiser,to use up; exhaust
une ferme éolienne,wind farm
la fracturation hydraulique,fracking
une voiture hybride,hybrid car
le citoyen / la citoyenne,citizen
les droits (m.) civils,civil rights
l’écologiste (m., f.); environmentalist
l’électeur / l’électrice,voter
l’élection (f.),election
la guerre,war
l’homme / la femme politique,politician
les idées extrémistes,extremist ideas
les impôts (m.),taxes
le parti,political party
la politique,politics; policy
la réussite,success
le/la sans-abri,homeless person
le terrorisme,terrorism
augmenter,to raise; increase
diminuer,to lower; reduce
élire,to elect
s’engager (dans),to get involved (in) [a public issue; cause]
exiger,to require; to demand
exprimer une opinion,to express an opinion
manifester (pour/contre),to demonstrate (for/against)
poser sa candidature,to run for elected office; to apply (for a job)
soutenir,to support
recycler,to recycle
le recyclage,recycling
le tri sélectif,selective sorting
le verre,glass
le plastique,plastic
le métal/les métaux,metal(s)
le papier,paper
les emballages (m.),packaging/boxes
gaspiller,to waste
le gaspillage,waste
surconsummer,to overconsume
les déchets,trash
les ordures,trash
un déchet industriel,industrial waste
une déchèterie/déchetterie,recycling center
polluer,to pollute
la pollution,pollution
le réchauffement climatique de la planète,global warming
la surpopulation,overpopulation
une central nucléaire,nuclear power plant
une énergie fossile,fossil fuel
préserver,to preserve
protéger,to protect
sauver la planète,to save the planet
une énergie propre,clean energy
une énergie renouvelable,renewable energy
un matériau/objet biodégradable,biodegradable material/object
l'énergie solaire,solar energy
l'énergie éolienne,wind energy
l'énergie du vent,wind energy
l'énergie de l'eau,water energy/hydropower
l'énergie hydraulique,hydraulic energy
le covoiturage,carpooling
une voiture hybrid,hybrid car
un parti politique écologique,green party
développer,to develop
le développement de l'énergie renouvelable,developing renewable energy
le chômage,unemployment
les chômeurs,unemployed people
le taux de chômage,unemployment rate/percentage
la population active occupée,number of working people
une grève,strike
un gréviste,person on strike
faire grève,to strike [a job]
le pouvoir d'achat,purchasing power
l'inégalité salaire,wage inequality
la parité de salaire entre les hommes et les femmes,the wage difference between men and women
le taux,percentage
la retraite,retirement
les retraités,retirees
les impôts/les taxes,taxes
la santé publique,public health
la qualité des soins,quality of care
l'insécurité,insecurity
